"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-10-0-0-109.ec2.internal",,,,"User:","simulator"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator-0.12-SNAPSHOT/workers/2020-06-03__11_13_44/A1_dstat.csv 5",,,,"Date:","03 Jun 2020 08:14:11 UTC"

"epoch","memory usage",,,,"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
"epoch","used","buff","cach","free","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","1m","5m","15m"
1591172051.169,458809344.0,2138112.0,1043476480.0,72253255680.0,0.432,0.420,99.127,0.003,0.0,0.019,74388.557,340314.428,0.0,0.0,0.0,0.0,21114.492,48879.779,0.160,0.090,0.460
1591172056.175,458342400.0,2138112.0,1043533824.0,72253665280.0,0.056,0.056,99.889,0.0,0.0,0.0,0.0,11673.600,4492.400,3757.200,0.0,0.0,698.400,486.800,0.150,0.090,0.460
1591172061.175,456290304.0,2138112.0,1043644416.0,72255606784.0,0.056,0.039,99.894,0.011,0.0,0.0,0.0,387686.400,2700.400,2318.400,0.0,0.0,359.200,523.800,0.130,0.090,0.460
1591172066.175,456278016.0,2138112.0,1043648512.0,72255614976.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,40.600,39.400,0.0,0.0,64.0,123.0,0.120,0.090,0.450
1591172071.175,456142848.0,2138112.0,1043648512.0,72255750144.0,0.0,0.006,99.994,0.0,0.0,0.0,0.0,24576.0,30.0,44.200,0.0,0.0,239.400,132.600,0.110,0.080,0.450
1591172076.175,456142848.0,2138112.0,1043648512.0,72255750144.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,225.0,132.200,0.0,0.0,75.0,158.800,0.100,0.080,0.450
1591172081.175,456142848.0,2138112.0,1043648512.0,72255750144.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,54681.600,0.0,15.400,0.0,0.0,70.200,133.200,0.100,0.080,0.450
1591172086.175,456142848.0,2138112.0,1043648512.0,72255750144.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,96665.600,46.600,31.200,0.0,0.0,243.200,156.600,0.090,0.080,0.440
1591172091.175,456138752.0,2138112.0,1043652608.0,72255750144.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,15.400,0.0,0.0,62.0,136.0,0.080,0.080,0.440
